,0
0,4151
1,4502
2,4503
3,4506
4,4507
5,4519
6,4523
7,4568
8,4578
9,6479
10,6501
11,6503
12,6504
13,6506
14,6594
15,6645
16,6674
17,6701
18,6702
19,6724
20,6752
21,6753
22,6758
23,6762
24,6770
25,6841
26,6857
27,6861
28,6902
29,6952
30,6954
31,6971
32,6976
33,6981
34,7735
35,7751
36,7752
37,8035
38,7201
39,7202
40,7203
41,7205
42,7211
43,7261
44,7267
45,7269
46,7270
47,7272
48,4543
49,4902
50,7731
51,7733
52,7741
53,7762
54,9432
55,9433
56,9434
57,9613
58,9984
59,5831
60,7186
61,8304
62,8306
63,8308
64,8309
65,8316
66,8331
67,8354
68,8411
69,8253
70,8591
71,8697
72,8601
73,8604
74,8628
75,8630
76,8725
77,8750
78,8766
79,8795
80,1332
81,2002
82,2269
83,2282
84,2501
85,2502
86,2503
87,2531
88,2801
89,2802
90,2871
91,2914
92,3086
93,3099
94,3382
95,8233
96,8252
97,8267
98,9983
99,2413
100,2432
101,3659
102,4324
103,4689
104,4704
105,4751
106,4755
107,6098
108,6178
109,7974
110,9602
111,9735
112,9766
113,1605
114,3101
115,3401
116,3402
117,3861
118,3863
119,3405
120,3407
121,4004
122,4005
123,4021
124,4042
125,4043
126,4061
127,4063
128,4183
129,4188
130,4208
131,4452
132,4631
133,4901
134,4911
135,6988
136,5019
137,5020
138,5101
139,5108
140,5201
141,5202
142,5214
143,5232
144,5233
145,5301
146,5332
147,5333
148,5401
149,5406
150,5411
151,5541
152,3436
153,5703
154,5706
155,5707
156,5711
157,5713
158,5714
159,5801
160,5802
161,5803
162,2768
163,8001
164,8002
165,8015
166,8031
167,8053
168,8058
169,1721
170,1801
171,1802
172,1803
173,1808
174,1812
175,1925
176,1928
177,1963
178,5631
179,6103
180,6113
181,6273
182,6301
183,6302
184,6305
185,6326
186,6361
187,6367
188,6471
189,6472
190,6473
191,7004
192,7011
193,7013
194,7003
195,7012
196,7832
197,7911
198,7912
199,7951
200,3289
201,8801
202,8802
203,8804
204,8830
205,9001
206,9005
207,9007
208,9008
209,9009
210,9020
211,9021
212,9022
213,9064
214,9147
215,9101
216,9104
217,9107
218,9202
219,9301
220,9501
221,9502
222,9503
223,9531
224,9532
